Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
AUS,18,27.0,66.0,5,55,480,5.3,6,6,12,6,0,0,4,0,1.13,1.13,2.25,1.13,2.25
BHR,16,27.2,46.3,4,44,390,4.3,3,0,3,2,1,1,2,0,0.69,0.00,0.69,0.46,0.46
CHN,18,29.8,50.6,5,55,450,5.0,6,3,9,5,1,1,5,0,1.20,0.60,1.80,1.00,1.60
IND,16,26.0,36.7,3,33,270,3.0,4,3,7,3,1,1,2,0,1.33,1.00,2.33,1.00,2.00
IRN,21,27.5,57.0,6,66,540,6.0,12,7,19,11,1,1,5,0,2.00,1.17,3.17,1.83,3.00
IRQ,19,23.7,55.0,4,44,360,4.0,6,2,8,6,0,0,4,0,1.50,0.50,2.00,1.50,2.00
JPN,22,27.0,54.7,7,77,630,7.0,12,8,20,9,3,3,2,0,1.71,1.14,2.86,1.29,2.43
JRD,17,28.9,41.3,4,44,390,4.3,4,4,8,4,0,0,4,0,0.92,0.92,1.85,0.92,1.85
PRK,20,26.5,32.7,3,33,270,3.0,1,0,1,1,0,0,13,2,0.33,0.00,0.33,0.33,0.33
KOR,19,27.1,69.0,5,55,480,5.3,6,4,10,5,1,1,4,0,1.13,0.75,1.87,0.94,1.69
KYR,18,26.7,41.3,4,44,390,4.3,6,5,11,6,0,0,3,0,1.38,1.15,2.54,1.38,2.54
LBN,20,28.7,42.0,3,33,270,3.0,4,1,5,3,1,1,7,0,1.33,0.33,1.67,1.00,1.33
OMN,15,27.7,51.5,4,44,360,4.0,4,3,7,4,0,1,6,0,1.00,0.75,1.75,1.00,1.75
PAL,18,27.0,33.7,3,33,270,3.0,0,0,0,0,0,0,6,1,0.00,0.00,0.00,0.00,0.00
PHL,17,28.6,39.0,3,33,270,3.0,1,0,1,1,0,0,9,0,0.33,0.00,0.33,0.33,0.33
QTR,19,25.3,49.1,7,77,630,7.0,19,15,34,18,1,2,4,0,2.71,2.14,4.86,2.57,4.71
SAU,18,26.8,72.5,4,44,360,4.0,6,5,11,6,0,0,5,0,1.50,1.25,2.75,1.50,2.75
SYR,19,28.2,57.3,3,33,270,3.0,2,0,2,1,1,1,6,0,0.67,0.00,0.67,0.33,0.33
THA,21,27.8,46.0,4,44,360,4.0,4,2,6,4,0,0,8,0,1.00,0.50,1.50,1.00,1.50
TRK,17,27.7,35.3,3,33,270,3.0,3,1,4,2,1,1,5,0,1.00,0.33,1.33,0.67,1.00
UAE,20,28.8,56.5,6,66,570,6.3,8,4,12,6,2,2,1,1,1.26,0.63,1.89,0.95,1.58
UZB,19,27.8,48.3,4,44,390,4.3,7,5,12,7,0,0,5,1,1.62,1.15,2.77,1.62,2.77
VIE,19,24.1,45.2,5,55,480,5.3,4,1,5,3,1,1,5,0,0.75,0.19,0.94,0.56,0.75
YMN,19,26.5,35.3,3,33,270,3.0,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00
