Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Points
AUT,22,27.1,53.5,4,44,390,4.3,5,5,10,5,0,0,6,0,5.1,5.1,4.2,9.3,87,184,1.15,1.15,2.31,1.15,2.31,1.17,0.98,2.14,1.17,2.14,
BEL,24,29.2,53.8,5,55,450,5.0,8,6,14,7,1,1,4,0,5.9,5.1,4.1,9.2,98,201,1.60,1.20,2.80,1.40,2.60,1.18,0.81,2.00,01.03,1.84,
HRV,21,27.7,50.0,4,44,390,4.3,6,5,11,6,0,0,7,0,5.5,5.5,5.1,10.6,90,133,1.38,1.15,2.54,1.38,2.54,1.27,1.17,2.45,1.27,2.45,
CZE,21,28.0,48.2,5,55,450,5.0,6,4,10,5,1,1,7,0,6.2,5.4,4.7,10.1,84,179,1.20,0.80,2.00,1.00,1.80,1.23,0.94,2.17,01.07,02.01,
DNK,21,27.7,53.3,6,66,570,6.3,12,8,20,12,0,1,5,0,9.9,9.2,6.4,15.6,123,240,1.89,1.26,3.16,1.89,3.16,1.57,01.01,2.58,1.45,2.46,
ENG,21,25.9,50.9,7,77,690,7.7,10,8,18,10,0,1,6,0,11.0,10.1,9.2,19.3,128,269,1.30,01.04,2.35,1.30,2.35,1.44,1.20,2.64,1.32,2.52,
FIN,19,29.4,37.0,3,33,270,3.0,1,1,2,1,0,0,4,0,1.5,1.5,1.5,3.0,29,72,0.33,0.33,0.67,0.33,0.67,0.50,0.49,0.99,0.50,0.99,
FRA,21,27.8,52.8,4,44,390,4.3,6,2,8,5,1,1,8,0,7.5,6.7,5.5,12.2,94,210,1.38,0.46,1.85,1.15,1.62,1.72,1.28,3.00,1.54,2.82,
DEU,19,28.3,61.8,4,44,360,4.0,4,3,7,4,0,0,7,0,7.1,7.1,5.8,12.9,67,234,1.00,0.75,1.75,1.00,1.75,1.77,1.45,3.22,1.77,3.22,
HUN,18,27.5,30.0,3,33,270,3.0,3,3,6,3,0,0,6,0,1.5,1.5,1.3,2.7,21,50,1.00,1.00,2.00,1.00,2.00,0.48,0.43,0.91,0.48,0.91,
ITA,25,27.9,54.7,7,77,720,8.0,12,9,21,12,0,0,12,0,13.1,13.1,11.1,24.2,155,329,1.50,1.13,2.62,1.50,2.62,1.64,1.39,03.03,1.64,03.03,
NMC,21,27.7,42.7,3,33,270,3.0,2,0,2,2,0,1,8,0,3.0,2.2,1.9,4.1,41,82,0.67,0.00,0.67,0.67,0.67,1.00,0.63,1.63,0.73,1.36,
NDL,21,27.8,54.8,4,44,360,4.0,8,5,13,7,1,1,3,1,8.6,7.8,6.0,13.8,87,184,2.00,1.25,3.25,1.75,3.00,2.15,1.50,3.65,1.96,3.46,
POL,19,27.7,49.3,3,33,270,3.0,4,4,8,4,0,0,8,1,4.6,4.6,3.5,8.1,51,126,1.33,1.33,2.67,1.33,2.67,1.55,1.17,2.71,1.55,2.71,
PRT,20,28.8,54.3,4,44,360,4.0,7,4,11,4,3,3,4,0,7.9,5.8,5.3,11.0,73,177,1.75,1.00,2.75,1.00,2.00,1.97,1.31,3.28,1.44,2.75,
RUS,20,27.1,43.0,3,33,270,3.0,2,1,3,1,1,1,5,0,2.3,1.5,1.3,2.8,44,94,0.67,0.33,1.00,0.33,0.67,0.77,0.42,1.18,0.50,0.92,
SCO,20,27.2,43.7,3,33,270,3.0,1,0,1,1,0,0,3,0,3.9,3.9,3.1,7.0,29,97,0.33,0.00,0.33,0.33,0.33,1.30,01.05,2.34,1.30,2.34,
SVK,20,29.7,45.0,3,33,270,3.0,1,1,2,1,0,0,6,0,1.0,1.0,0.8,1.9,35,72,0.33,0.33,0.67,0.33,0.67,0.34,0.28,0.62,0.34,0.62,
ESP,21,26.0,72.0,6,66,630,7.0,10,9,19,10,0,2,6,0,16.7,15.0,12.8,27.8,171,431,1.43,1.29,2.71,1.43,2.71,2.38,1.83,4.21,2.15,3.97,
SWE,19,29.3,34.5,4,44,390,4.3,5,4,9,4,1,1,5,1,5.2,4.4,3.5,7.8,45,124,1.15,0.92,02.08,0.92,1.85,1.19,0.80,1.99,01.01,1.81,
CHE,20,27.7,48.0,5,55,510,5.7,8,8,16,8,0,1,11,1,7.1,6.3,5.6,11.9,88,232,1.41,1.41,2.82,1.41,2.82,1.26,0.98,2.24,1.12,2.10,
TUR,18,25.9,49.0,3,33,270,3.0,1,1,2,1,0,0,7,0,3.0,3.0,2.9,5.9,40,105,0.33,0.33,0.67,0.33,0.67,01.01,0.97,1.98,01.01,1.98,
UKR,21,25.9,48.4,5,55,480,5.3,6,6,12,6,0,1,4,0,6.2,5.5,5.1,10.6,109,174,1.13,1.13,2.25,1.13,2.25,1.17,0.95,2.12,01.03,1.98,
WAL,18,26.6,38.0,4,44,360,4.0,3,3,6,3,0,1,9,2,4.9,4.1,3.8,7.9,54,98,0.75,0.75,1.50,0.75,1.50,1.22,0.96,2.18,01.02,1.98,
