Unnamed: 0,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code,key_id.1,player_id.1,family_name.1,given_name.1,birth_date,female,goal_keeper,defender,midfielder,forward,count_tournaments,list_tournaments,player_wikipedia_link
1,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-69244,Bossio,Ángel,0,goal keeper,GK,1272,P-69244,Bossio,Ángel,1905-05-05,0,1,0,0,0,1,1930,https://en.wikipedia.org/wiki/%C3%81ngel_Bossio
2,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-23160,Botasso,Juan,0,goal keeper,GK,1276,P-23160,Botasso,Juan,1908-10-23,0,1,0,0,0,1,1930,https://en.wikipedia.org/wiki/Juan_Botasso
3,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-99230,Cherro,Roberto,0,forward,FW,1839,P-99230,Cherro,Roberto,1907-02-23,0,0,0,0,1,1,1930,https://en.wikipedia.org/wiki/Roberto_Cherro
4,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-22739,Della Torre,José,0,defender,DF,2379,P-22739,Della Torre,José,1906-03-23,0,0,1,0,0,1,1930,https://en.wikipedia.org/wiki/Jos%C3%A9_Della_Torre
5,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-23897,Evaristo,Mario,0,forward,FW,2919,P-23897,Evaristo,Mario,1908-12-10,0,0,0,0,1,1,1930,https://en.wikipedia.org/wiki/Mario_Evaristo
6,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-60505,Ferreira,Manuel,0,forward,FW,3047,P-60505,Ferreira,Manuel,1905-10-22,0,0,0,0,1,1,1930,https://en.wikipedia.org/wiki/Manuel_Ferreira_(footballer)
7,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-25760,Monti,Luis,0,midfielder,MF,6419,P-25760,Monti,Luis,1901-05-15,0,0,0,1,0,2,"1930, 1934",https://en.wikipedia.org/wiki/Luis_Monti
8,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-49556,Muttis,Ramón,0,defender,DF,6605,P-49556,Muttis,Ramón,1899-03-12,0,0,1,0,0,1,1930,https://en.wikipedia.org/wiki/Ram%C3%B3n_Muttis
9,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-91238,Orlandini,Rodolfo,0,midfielder,MF,7097,P-91238,Orlandini,Rodolfo,1905-01-01,0,0,0,1,0,1,1930,https://en.wikipedia.org/wiki/Rodolfo_Orlandini
10,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-58537,Paternoster,Fernando,0,defender,DF,7316,P-58537,Paternoster,Fernando,1903-05-24,0,0,1,0,0,1,1930,https://en.wikipedia.org/wiki/Fernando_Paternoster
