team_code,NPlayers,Age,Poss,Glsp90,Astp90,PKatt,CrdY,CrdR,advanced
CAN,19,26.2,53.0,2.2,1.2,2,14,0,0
CRI,22,29.0,52.8,1.5,1.0,0,8,2,0
MEX,21,28.9,66.2,1.42,1.11,2,11,0,0
QAT,18,26.6,45.4,2.4,1.6,4,2,0,0
USA,22,23.8,56.0,1.58,1.42,0,4,0,1
AUS,18,27.0,66.0,1.13,1.13,0,4,0,1
IRN,21,27.5,57.0,2.0,1.17,1,5,0,0
JPN,22,27.0,54.7,1.71,1.14,3,2,0,1
KOR,19,27.1,69.0,1.13,0.75,1,4,0,1
QAT,19,25.3,49.1,2.71,2.14,2,4,0,0
SAU,18,26.8,72.5,1.5,1.25,0,5,0,0
CMR,24,26.2,59.7,1.91,0.95,2,11,0,0
GHA,17,26.0,51.0,1.0,0.33,0,7,2,0
MAR,23,25.6,60.6,1.5,0.19,3,6,0,1
SEN,24,27.7,57.9,1.23,0.0,2,12,0,1
TUN,24,26.6,57.4,1.0,0.6,3,10,1,0
BEL,24,29.2,53.8,1.6,1.2,1,4,0,0
HRV,21,27.7,50.0,1.38,1.15,0,7,0,1
DNK,21,27.7,53.3,1.89,1.26,1,5,0,0
ENG,21,25.9,50.9,1.3,1.04,1,6,0,1
FRA,21,27.8,52.8,1.38,0.46,1,8,0,1
NLD,21,27.8,54.8,2.0,1.25,1,3,1,1
POL,19,27.7,49.3,1.33,1.33,0,8,1,1
PRT,20,28.8,54.3,1.75,1.0,3,4,0,1
ESP,21,26.0,72.0,1.43,1.29,2,6,0,1
WAL,18,26.6,38.0,0.75,0.75,1,9,2,0
ARG,26,27.7,48.7,1.64,1.09,1,18,0,1
BRA,23,27.3,57.4,1.71,1.14,1,12,1,1
ECU,22,25.5,55.8,0.8,0.6,0,9,1,0
URY,21,28.3,51.8,0.6,0.2,1,4,0,0
DEU,19,28.3,61.8,1.0,0.75,0,7,0,0
CHE,20,27.7,48.0,1.41,1.41,1,11,1,1
