Squad,NPlayers,Age,Poss,MP,Starts,Min,90s,Gls,Ast,GpA,GmPK,PK,PKatt,CrdY,CrdR,Glsp90,Astp90,GpAp90,GmPKp90,GpAmPK
CAN,19,26.2,53.0,5,55,450,5.0,11,6,17,9,2,2,14,0,2.2,1.2,3.4,1.8,3.0
CRI,22,29.0,52.8,4,44,360,4.0,6,4,10,6,0,0,8,2,1.5,1.0,2.5,1.5,2.5
SLV,17,26.6,59.8,4,44,360,4.0,6,6,12,6,0,0,7,0,1.5,1.5,3.0,1.5,3.0
GRE,18,25.9,37.0,3,33,270,3.0,1,1,2,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67
GDL,21,26.4,40.7,3,33,270,3.0,2,2,4,2,0,0,7,3,0.67,0.67,1.33,0.67,1.33
GML,21,26.4,37.7,3,33,270,3.0,1,1,2,1,0,0,4,0,0.33,0.33,0.67,0.33,0.67
HTI,16,25.7,45.3,3,33,270,3.0,3,2,5,3,0,0,2,1,1.0,0.67,1.67,1.0,1.67
HND,22,28.8,49.3,4,44,360,4.0,7,5,12,7,0,0,7,0,1.75,1.25,3.0,1.75,3.0
JAM,21,27.5,47.8,4,44,360,4.0,4,3,7,4,0,0,8,0,1.0,0.75,1.75,1.0,1.75
MQE,18,30.8,38.0,3,33,270,3.0,3,1,4,2,1,1,6,2,1.0,0.33,1.33,0.67,1.0
MEX,21,28.9,66.2,6,66,570,6.3,9,7,16,8,1,2,11,0,1.42,1.11,2.53,1.26,2.37
PAN,22,28.8,59.0,3,33,270,3.0,8,6,14,6,2,2,3,0,2.67,2.0,4.67,2.0,4.0
QAT,18,26.6,45.4,5,55,450,5.0,12,8,20,10,2,4,2,0,2.4,1.6,4.0,2.0,3.6
SRM,19,28.7,54.7,3,33,270,3.0,3,3,6,3,0,0,7,0,1.0,1.0,2.0,1.0,2.0
TTB,21,27.7,35.7,3,33,270,3.0,1,1,2,1,0,0,5,0,0.33,0.33,0.67,0.33,0.67
USA,22,23.8,56.0,6,66,570,6.3,10,9,19,10,0,0,4,0,1.58,1.42,3.0,1.58,3.0
AUS,18,27.0,66.0,5,55,480,5.3,6,6,12,6,0,0,4,0,1.13,1.13,2.25,1.13,2.25
BHR,16,27.2,46.3,4,44,390,4.3,3,0,3,2,1,1,2,0,0.69,0.0,0.69,0.46,0.46
CHN,18,29.8,50.6,5,55,450,5.0,6,3,9,5,1,1,5,0,1.2,0.6,1.8,1.0,1.6
IND,16,26.0,36.7,3,33,270,3.0,4,3,7,3,1,1,2,0,1.33,1.0,2.33,1.0,2.0
IRN,21,27.5,57.0,6,66,540,6.0,12,7,19,11,1,1,5,0,2.0,1.17,3.17,1.83,3.0
IRQ,19,23.7,55.0,4,44,360,4.0,6,2,8,6,0,0,4,0,1.5,0.5,2.0,1.5,2.0
JPN,22,27.0,54.7,7,77,630,7.0,12,8,20,9,3,3,2,0,1.71,1.14,2.86,1.29,2.43
JRD,17,28.9,41.3,4,44,390,4.3,4,4,8,4,0,0,4,0,0.92,0.92,1.85,0.92,1.85
PRK,20,26.5,32.7,3,33,270,3.0,1,0,1,1,0,0,13,2,0.33,0.0,0.33,0.33,0.33
KOR,19,27.1,69.0,5,55,480,5.3,6,4,10,5,1,1,4,0,1.13,0.75,1.87,0.94,1.69
KYR,18,26.7,41.3,4,44,390,4.3,6,5,11,6,0,0,3,0,1.38,1.15,2.54,1.38,2.54
LBN,20,28.7,42.0,3,33,270,3.0,4,1,5,3,1,1,7,0,1.33,0.33,1.67,1.0,1.33
OMN,15,27.7,51.5,4,44,360,4.0,4,3,7,4,0,1,6,0,1.0,0.75,1.75,1.0,1.75
PAL,18,27.0,33.7,3,33,270,3.0,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0
PHL,17,28.6,39.0,3,33,270,3.0,1,0,1,1,0,0,9,0,0.33,0.0,0.33,0.33,0.33
QAT,19,25.3,49.1,7,77,630,7.0,19,15,34,18,1,2,4,0,2.71,2.14,4.86,2.57,4.71
SAU,18,26.8,72.5,4,44,360,4.0,6,5,11,6,0,0,5,0,1.5,1.25,2.75,1.5,2.75
SYR,19,28.2,57.3,3,33,270,3.0,2,0,2,1,1,1,6,0,0.67,0.0,0.67,0.33,0.33
THA,21,27.8,46.0,4,44,360,4.0,4,2,6,4,0,0,8,0,1.0,0.5,1.5,1.0,1.5
TRK,17,27.7,35.3,3,33,270,3.0,3,1,4,2,1,1,5,0,1.0,0.33,1.33,0.67,1.0
