,key_id,tournament_id,tournament_name,stage_number,stage_name,group_name,count_teams
0,1,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 1,4
1,2,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 2,3
2,3,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 3,3
3,4,WC-1930,1930 FIFA Men's World Cup,1,group stage,Group 4,3
4,5,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 1,4
5,6,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 2,4
6,7,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 3,3
7,8,WC-1950,1950 FIFA Men's World Cup,1,first round,Group 4,2
8,9,WC-1950,1950 FIFA Men's World Cup,2,final round,Group 1,4
9,10,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 1,4
10,11,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 2,4
11,12,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 3,4
12,13,WC-1954,1954 FIFA Men's World Cup,1,group stage,Group 4,4
13,14,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 1,4
14,15,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 2,4
15,16,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 3,4
16,17,WC-1958,1958 FIFA Men's World Cup,1,group stage,Group 4,4
17,18,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 1,4
18,19,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 2,4
19,20,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 3,4
20,21,WC-1962,1962 FIFA Men's World Cup,1,group stage,Group 4,4
21,22,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 1,4
22,23,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 2,4
23,24,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 3,4
24,25,WC-1966,1966 FIFA Men's World Cup,1,group stage,Group 4,4
25,26,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 1,4
26,27,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 2,4
27,28,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 3,4
28,29,WC-1970,1970 FIFA Men's World Cup,1,group stage,Group 4,4
29,30,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 1,4
30,31,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 2,4
31,32,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 3,4
32,33,WC-1974,1974 FIFA Men's World Cup,1,first group stage,Group 4,4
33,34,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group A,4
34,35,WC-1974,1974 FIFA Men's World Cup,2,second group stage,Group B,4
35,36,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 1,4
36,37,WC-1978,1978 FIFA Men's World Cup,1,first group stage,Group 2,4
