,key_id,tournament_id,tournament_name,team_id,team_name,team_code,player_id,family_name,given_name,shirt_number,position_name,position_code
0,1,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-69244,Bossio,Ángel,0,goal keeper,GK
1,2,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-23160,Botasso,Juan,0,goal keeper,GK
2,3,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-99230,Cherro,Roberto,0,forward,FW
3,4,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-41921,Chividini,Alberto,0,defender,DF
4,5,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-22739,Della Torre,José,0,defender,DF
5,6,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-30720,Demaría,Attilio,0,forward,FW
6,7,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-30543,Evaristo,Juan,0,midfielder,MF
7,8,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-23897,Evaristo,Mario,0,forward,FW
8,9,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-60505,Ferreira,Manuel,0,forward,FW
9,10,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-25760,Monti,Luis,0,midfielder,MF
10,11,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-49556,Muttis,Ramón,0,defender,DF
11,12,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-91238,Orlandini,Rodolfo,0,midfielder,MF
12,13,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-58537,Paternoster,Fernando,0,defender,DF
13,14,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-24312,Perinetti,Natalio,0,forward,FW
14,15,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-70166,Peucelle,Carlos,0,forward,FW
15,16,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-49151,Piaggio,Edmundo,0,defender,DF
16,17,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-44916,Scopelli,Alejandro,0,forward,FW
17,18,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-21441,Spadaro,Carlos,0,forward,FW
18,19,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-56486,Stábile,Guillermo,0,forward,FW
19,20,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-56908,Suárez,Arico,0,midfielder,MF
20,21,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-37326,Varallo,Francisco,0,forward,FW
21,22,WC-1930,1930 FIFA Men's World Cup,T-03,Argentina,ARG,P-76546,Zumelzú,Adolfo,0,midfielder,MF
22,23,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-92795,Adams,Ferdinand,0,forward,FW
23,24,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-20690,Badjou,Arnold,0,goal keeper,GK
24,25,WC-1930,1930 FIFA Men's World Cup,T-06,Belgium,BEL,P-40714,Braine,Pierre,0,midfielder,MF
