,key_id,tournament_id,tournament_name,position,team_id,team_name,team_code
0,1,WC-1930,1930 FIFA Men's World Cup,1,T-84,Uruguay,URY
1,2,WC-1930,1930 FIFA Men's World Cup,2,T-03,Argentina,ARG
2,3,WC-1930,1930 FIFA Men's World Cup,3,T-83,United States,USA
3,4,WC-1930,1930 FIFA Men's World Cup,4,T-87,Yugoslavia,YUG
4,5,WC-1934,1934 FIFA Men's World Cup,1,T-41,Italy,ITA
5,6,WC-1934,1934 FIFA Men's World Cup,2,T-21,Czechoslovakia,CSK
6,7,WC-1934,1934 FIFA Men's World Cup,3,T-31,Germany,DEU
7,8,WC-1934,1934 FIFA Men's World Cup,4,T-05,Austria,AUT
8,9,WC-1938,1938 FIFA Men's World Cup,1,T-41,Italy,ITA
9,10,WC-1938,1938 FIFA Men's World Cup,2,T-36,Hungary,HUN
10,11,WC-1938,1938 FIFA Men's World Cup,3,T-09,Brazil,BRA
11,12,WC-1938,1938 FIFA Men's World Cup,4,T-74,Sweden,SWE
12,13,WC-1950,1950 FIFA Men's World Cup,1,T-84,Uruguay,URY
13,14,WC-1950,1950 FIFA Men's World Cup,2,T-09,Brazil,BRA
14,15,WC-1950,1950 FIFA Men's World Cup,3,T-74,Sweden,SWE
15,16,WC-1950,1950 FIFA Men's World Cup,4,T-73,Spain,ESP
16,17,WC-1954,1954 FIFA Men's World Cup,1,T-86,West Germany,DEU
17,18,WC-1954,1954 FIFA Men's World Cup,2,T-36,Hungary,HUN
18,19,WC-1954,1954 FIFA Men's World Cup,3,T-05,Austria,AUT
19,20,WC-1954,1954 FIFA Men's World Cup,4,T-84,Uruguay,URY
20,21,WC-1958,1958 FIFA Men's World Cup,1,T-09,Brazil,BRA
21,22,WC-1958,1958 FIFA Men's World Cup,2,T-74,Sweden,SWE
22,23,WC-1958,1958 FIFA Men's World Cup,3,T-30,France,FRA
23,24,WC-1958,1958 FIFA Men's World Cup,4,T-86,West Germany,DEU
24,25,WC-1962,1962 FIFA Men's World Cup,1,T-09,Brazil,BRA
25,26,WC-1962,1962 FIFA Men's World Cup,2,T-21,Czechoslovakia,CSK
26,27,WC-1962,1962 FIFA Men's World Cup,3,T-13,Chile,CHL
27,28,WC-1962,1962 FIFA Men's World Cup,4,T-87,Yugoslavia,YUG
28,29,WC-1966,1966 FIFA Men's World Cup,1,T-28,England,ENG
29,30,WC-1966,1966 FIFA Men's World Cup,2,T-86,West Germany,DEU
30,31,WC-1966,1966 FIFA Men's World Cup,3,T-58,Portugal,PRT
31,32,WC-1966,1966 FIFA Men's World Cup,4,T-72,Soviet Union,SUN
32,33,WC-1970,1970 FIFA Men's World Cup,1,T-09,Brazil,BRA
33,34,WC-1970,1970 FIFA Men's World Cup,2,T-41,Italy,ITA
34,35,WC-1970,1970 FIFA Men's World Cup,3,T-86,West Germany,DEU
35,36,WC-1970,1970 FIFA Men's World Cup,4,T-84,Uruguay,URY
36,37,WC-1974,1974 FIFA Men's World Cup,1,T-86,West Germany,DEU
37,38,WC-1974,1974 FIFA Men's World Cup,2,T-48,Netherlands,NLD
38,39,WC-1974,1974 FIFA Men's World Cup,3,T-57,Poland,POL
39,40,WC-1974,1974 FIFA Men's World Cup,4,T-09,Brazil,BRA
40,41,WC-1978,1978 FIFA Men's World Cup,1,T-03,Argentina,ARG
41,42,WC-1978,1978 FIFA Men's World Cup,2,T-48,Netherlands,NLD
42,43,WC-1978,1978 FIFA Men's World Cup,3,T-09,Brazil,BRA
43,44,WC-1978,1978 FIFA Men's World Cup,4,T-41,Italy,ITA
44,45,WC-1982,1982 FIFA Men's World Cup,1,T-41,Italy,ITA
45,46,WC-1982,1982 FIFA Men's World Cup,2,T-86,West Germany,DEU
46,47,WC-1982,1982 FIFA Men's World Cup,3,T-57,Poland,POL
47,48,WC-1982,1982 FIFA Men's World Cup,4,T-30,France,FRA
48,49,WC-1986,1986 FIFA Men's World Cup,1,T-03,Argentina,ARG
49,50,WC-1986,1986 FIFA Men's World Cup,2,T-86,West Germany,DEU
50,51,WC-1986,1986 FIFA Men's World Cup,3,T-30,France,FRA
51,52,WC-1986,1986 FIFA Men's World Cup,4,T-06,Belgium,BEL
52,53,WC-1990,1990 FIFA Men's World Cup,1,T-86,West Germany,DEU
53,54,WC-1990,1990 FIFA Men's World Cup,2,T-03,Argentina,ARG
54,55,WC-1990,1990 FIFA Men's World Cup,3,T-41,Italy,ITA
55,56,WC-1990,1990 FIFA Men's World Cup,4,T-28,England,ENG
56,57,WC-1991,1991 FIFA Women's World Cup,1,T-83,United States,USA
57,58,WC-1991,1991 FIFA Women's World Cup,2,T-53,Norway,NOR
58,59,WC-1991,1991 FIFA Women's World Cup,3,T-74,Sweden,SWE
59,60,WC-1991,1991 FIFA Women's World Cup,4,T-31,Germany,DEU
60,61,WC-1994,1994 FIFA Men's World Cup,1,T-09,Brazil,BRA
61,62,WC-1994,1994 FIFA Men's World Cup,2,T-41,Italy,ITA
62,63,WC-1994,1994 FIFA Men's World Cup,3,T-74,Sweden,SWE
