,Unnamed: 0,key_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,referee_id,family_name,given_name,country_name,confederation_id,confederation_name,confederation_code
0,0,1,WC-1930,1930 FIFA Men's World Cup,M-1930-01,France vs Mexico,1930-07-13,group stage,Group 1,R-251,Lombardi,Domingo,Uruguay,CF-4,South American Football Confederation,CONMEBOL
1,1,2,WC-1930,1930 FIFA Men's World Cup,M-1930-02,United States vs Belgium,1930-07-13,group stage,Group 4,R-260,Macías,José,Argentina,CF-4,South American Football Confederation,CONMEBOL
2,2,3,WC-1930,1930 FIFA Men's World Cup,M-1930-03,Yugoslavia vs Brazil,1930-07-14,group stage,Group 2,R-430,Tejada,Aníbal,Uruguay,CF-4,South American Football Confederation,CONMEBOL
3,3,4,WC-1930,1930 FIFA Men's World Cup,M-1930-04,Romania vs Peru,1930-07-14,group stage,Group 3,R-472,Warnken,Alberto,Chile,CF-4,South American Football Confederation,CONMEBOL
4,4,5,WC-1930,1930 FIFA Men's World Cup,M-1930-05,Argentina vs France,1930-07-15,group stage,Group 1,R-116,de Almeida Rêgo,Gilberto,Brazil,CF-4,South American Football Confederation,CONMEBOL
5,5,6,WC-1930,1930 FIFA Men's World Cup,M-1930-06,Chile vs Mexico,1930-07-16,group stage,Group 1,R-091,Christophe,Henri,Belgium,CF-6,Union of European Football Associations,UEFA
6,6,7,WC-1930,1930 FIFA Men's World Cup,M-1930-07,Yugoslavia vs Bolivia,1930-07-17,group stage,Group 2,R-280,Mateucci,Francisco,Uruguay,CF-4,South American Football Confederation,CONMEBOL
7,7,8,WC-1930,1930 FIFA Men's World Cup,M-1930-08,United States vs Paraguay,1930-07-17,group stage,Group 4,R-260,Macías,José,Argentina,CF-4,South American Football Confederation,CONMEBOL
8,8,9,WC-1930,1930 FIFA Men's World Cup,M-1930-09,Uruguay vs Peru,1930-07-18,group stage,Group 3,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
9,9,10,WC-1930,1930 FIFA Men's World Cup,M-1930-10,Chile vs France,1930-07-19,group stage,Group 1,R-430,Tejada,Aníbal,Uruguay,CF-4,South American Football Confederation,CONMEBOL
10,10,11,WC-1930,1930 FIFA Men's World Cup,M-1930-11,Argentina vs Mexico,1930-07-19,group stage,Group 1,R-391,Saucedo,Ulises,Bolivia,CF-4,South American Football Confederation,CONMEBOL
11,11,12,WC-1930,1930 FIFA Men's World Cup,M-1930-12,Brazil vs Bolivia,1930-07-20,group stage,Group 2,R-039,Balvay,Thomas,France,CF-6,Union of European Football Associations,UEFA
12,12,13,WC-1930,1930 FIFA Men's World Cup,M-1930-13,Paraguay vs Belgium,1930-07-20,group stage,Group 4,R-449,Vallarino,Ricardo,Uruguay,CF-4,South American Football Confederation,CONMEBOL
13,13,14,WC-1930,1930 FIFA Men's World Cup,M-1930-14,Uruguay vs Romania,1930-07-21,group stage,Group 3,R-116,de Almeida Rêgo,Gilberto,Brazil,CF-4,South American Football Confederation,CONMEBOL
14,14,15,WC-1930,1930 FIFA Men's World Cup,M-1930-15,Argentina vs Chile,1930-07-22,group stage,Group 1,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
15,15,16,WC-1930,1930 FIFA Men's World Cup,M-1930-16,Argentina vs United States,1930-07-26,semi-finals,not applicable,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
16,16,17,WC-1930,1930 FIFA Men's World Cup,M-1930-17,Uruguay vs Yugoslavia,1930-07-27,semi-finals,not applicable,R-116,de Almeida Rêgo,Gilberto,Brazil,CF-4,South American Football Confederation,CONMEBOL
17,17,18,WC-1930,1930 FIFA Men's World Cup,M-1930-18,Uruguay vs Argentina,1930-07-30,final,not applicable,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
18,18,19,WC-1934,1934 FIFA Men's World Cup,M-1934-01,Austria vs France,1934-05-27,round of 16,not applicable,R-454,van Moorsel,Johannes,Netherlands,CF-6,Union of European Football Associations,UEFA
19,19,20,WC-1934,1934 FIFA Men's World Cup,M-1934-02,Czechoslovakia vs Romania,1934-05-27,round of 16,not applicable,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
20,20,21,WC-1934,1934 FIFA Men's World Cup,M-1934-03,Germany vs Belgium,1934-05-27,round of 16,not applicable,R-284,Mattea,Francesco,Italy,CF-6,Union of European Football Associations,UEFA
21,21,22,WC-1934,1934 FIFA Men's World Cup,M-1934-04,Hungary vs Egypt,1934-05-27,round of 16,not applicable,R-041,Barlassina,Rinaldo,Italy,CF-6,Union of European Football Associations,UEFA
22,22,23,WC-1934,1934 FIFA Men's World Cup,M-1934-05,Italy vs United States,1934-05-27,round of 16,not applicable,R-296,Mercet,René,Switzerland,CF-6,Union of European Football Associations,UEFA
23,23,24,WC-1934,1934 FIFA Men's World Cup,M-1934-06,Spain vs Brazil,1934-05-27,round of 16,not applicable,R-056,Birlem,Alfred,Germany,CF-6,Union of European Football Associations,UEFA
24,24,25,WC-1934,1934 FIFA Men's World Cup,M-1934-07,Sweden vs Argentina,1934-05-27,round of 16,not applicable,R-065,Braun,Eugen,Austria,CF-6,Union of European Football Associations,UEFA
25,25,26,WC-1934,1934 FIFA Men's World Cup,M-1934-08,Switzerland vs Netherlands,1934-05-27,round of 16,not applicable,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
26,26,27,WC-1934,1934 FIFA Men's World Cup,M-1934-09,Austria vs Hungary,1934-05-31,quarter-finals,not applicable,R-284,Mattea,Francesco,Italy,CF-6,Union of European Football Associations,UEFA
27,27,28,WC-1934,1934 FIFA Men's World Cup,M-1934-10,Czechoslovakia vs Switzerland,1934-05-31,quarter-finals,not applicable,R-054,Beranek,Alois,Austria,CF-6,Union of European Football Associations,UEFA
28,28,29,WC-1934,1934 FIFA Men's World Cup,M-1934-11,Germany vs Sweden,1934-05-31,quarter-finals,not applicable,R-041,Barlassina,Rinaldo,Italy,CF-6,Union of European Football Associations,UEFA
29,29,30,WC-1934,1934 FIFA Men's World Cup,M-1934-12,Italy vs Spain,1934-05-31,quarter-finals,not applicable,R-034,Baert,Louis,Belgium,CF-6,Union of European Football Associations,UEFA
30,30,31,WC-1934,1934 FIFA Men's World Cup,M-1934-13,Italy vs Spain,1934-06-01,quarter-finals,not applicable,R-296,Mercet,René,Switzerland,CF-6,Union of European Football Associations,UEFA
31,31,32,WC-1934,1934 FIFA Men's World Cup,M-1934-14,Czechoslovakia vs Germany,1934-06-03,semi-finals,not applicable,R-041,Barlassina,Rinaldo,Italy,CF-6,Union of European Football Associations,UEFA
32,32,33,WC-1934,1934 FIFA Men's World Cup,M-1934-15,Italy vs Austria,1934-06-03,semi-finals,not applicable,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
33,33,34,WC-1934,1934 FIFA Men's World Cup,M-1934-16,Germany vs Austria,1934-06-07,third-place match,not applicable,R-082,Carraro,Albino,Italy,CF-6,Union of European Football Associations,UEFA
34,34,35,WC-1934,1934 FIFA Men's World Cup,M-1934-17,Italy vs Czechoslovakia,1934-06-10,final,not applicable,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
35,35,36,WC-1938,1938 FIFA Men's World Cup,M-1938-01,Switzerland vs Germany,1938-06-04,round of 16,not applicable,R-236,Langenus,John,Belgium,CF-6,Union of European Football Associations,UEFA
36,36,37,WC-1938,1938 FIFA Men's World Cup,M-1938-02,Cuba vs Romania,1938-06-05,round of 16,not applicable,R-393,Scarpi,Giuseppe,Italy,CF-6,Union of European Football Associations,UEFA
37,37,38,WC-1938,1938 FIFA Men's World Cup,M-1938-03,France vs Belgium,1938-06-05,round of 16,not applicable,R-483,Wüthrich,Hans,Switzerland,CF-6,Union of European Football Associations,UEFA
38,38,39,WC-1938,1938 FIFA Men's World Cup,M-1938-04,Hungary vs Dutch East Indies,1938-06-05,round of 16,not applicable,R-100,Conrié,Roger,France,CF-6,Union of European Football Associations,UEFA
39,39,40,WC-1938,1938 FIFA Men's World Cup,M-1938-05,Italy vs Norway,1938-06-05,round of 16,not applicable,R-054,Beranek,Alois,Austria,CF-6,Union of European Football Associations,UEFA
40,40,41,WC-1938,1938 FIFA Men's World Cup,M-1938-06,Brazil vs Poland,1938-06-05,round of 16,not applicable,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
41,41,42,WC-1938,1938 FIFA Men's World Cup,M-1938-07,Czechoslovakia vs Netherlands,1938-06-05,round of 16,not applicable,R-241,Leclerq,Lucien,France,CF-6,Union of European Football Associations,UEFA
42,42,43,WC-1938,1938 FIFA Men's World Cup,M-1938-08,Cuba vs Romania,1938-06-09,round of 16,not applicable,R-056,Birlem,Alfred,Germany,CF-6,Union of European Football Associations,UEFA
43,43,44,WC-1938,1938 FIFA Men's World Cup,M-1938-09,Switzerland vs Germany,1938-06-09,round of 16,not applicable,R-135,Eklind,Ivan,Sweden,CF-6,Union of European Football Associations,UEFA
