,key_id,referee_id,family_name,given_name,female,country_name,confederation_id,confederation_name,confederation_code,referee_wikipedia_link
0,1,R-001,Abdel-Fatah,Essam,0,Egypt,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Essam_Abd_El_Fatah
1,2,R-002,Abidoye,Bola Elizabeth,1,Nigeria,CF-2,Confederation of African Football,CAF,not available
2,3,R-003,Adair,John,0,Northern Ireland,CF-6,Union of European Football Associations,UEFA,not available
3,4,R-004,Adámková,Jana,1,Czech Republic,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Jana_Ad%C3%A1mkov%C3%A1
4,5,R-005,Agboyi,Xonam,1,Togo,CF-2,Confederation of African Football,CAF,not available
5,6,R-006,Agnolin,Luigi,0,Italy,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Luigi_Agnolin
6,7,R-007,Aguilar,Joel,0,El Salvador,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Joel_Aguilar
7,8,R-008,Aguilar Elizalde,Abel,0,Mexico,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,not available
8,9,R-009,Ahlner,Sten,0,Sweden,CF-6,Union of European Football Associations,UEFA,not available
9,10,R-010,Al-Doy,Ibrahim Youssef,0,Bahrain,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Ibrahim_Youssef_Al-Doy
10,11,R-011,Al-Ghamdi,Khalil,0,Saudi Arabia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Khalil_Al_Ghamdi
11,12,R-012,Al-Ghandour,Gamal,0,Egypt,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Gamal_Al-Ghandour
12,13,R-013,Al-Jassim,Abdulrahman,0,Qatar,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Abdulrahman_Al-Jassim
13,14,R-014,Al-Shanar,Fallaj,0,Saudi Arabia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Fallaj_Al_Shanar
14,15,R-015,Al-Sharif,Jamal,0,Syria,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Jamal_Al_Sharif
